Quartiere,n_abitanti_quart
Arenella,67634
Avvocata,33001
Bagnoli,23333
Barra,36642
Chiaia,38356
Chiaiano,23396
Fuorigrotta,71808
Mercato,9352
Miano,23896
Montecalvario,23050
Pendino,16848
Pianura,57821
Piscinola,27534
Poggioreale,23654
Ponticelli,52284
Porto,4830
Posillipo,22856
San Carlo all'Arena,69094
San Ferdinando,18404
San Giovanni a Teduccio,23839
San Giuseppe,5191
San Lorenzo,48078
San Pietro a Patierno,17324
Scampia,39060
Secondigliano,42827
Soccavo,45314
Stella,30483
Vicaria,15062
Vomero,44791
Zona Industriale,6241